participant_id,Attentional State,Go Mean RT (ms),Go Std (ms),COV Go (%),No-Go Commission Error (%),Go Omission Error (%)
01,On-Task (OT),317.0729166666667,60.943325279808604,19.220602604755825,20.833333333333336,0.0
01,Mind Wandering (MW),335.664,87.75147678198557,26.142653600620136,28.125,2.34375
01,Mind Blanking (MB),,,,,
02,On-Task (OT),326.1666666666667,59.56583611842706,18.262392269318465,11.538461538461538,0.0
02,Mind Wandering (MW),324.7241379310345,74.86192977706061,23.05400832042856,16.666666666666664,0.0
02,Mind Blanking (MB),323.34375,64.44025626100603,19.92933410990812,18.75,0.0
03,On-Task (OT),421.7317073170732,111.05064587463136,26.332059920536032,5.555555555555555,0.3472222222222222
03,Mind Wandering (MW),401.38709677419354,71.30108807928755,17.763672188844446,25.0,3.125
03,Mind Blanking (MB),,,,,
04,On-Task (OT),315.09375,80.74158618802012,25.624623207543824,12.5,0.0
04,Mind Wandering (MW),316.4583333333333,85.8001288742968,27.112614785821243,20.0,0.0
04,Mind Blanking (MB),311.0416666666667,65.79640760346363,21.153567079479267,27.77777777777778,0.0
05,On-Task (OT),374.0763052208835,66.20835727753963,17.699158260891483,0.0,0.0
05,Mind Wandering (MW),353.3454545454546,68.92782542518745,19.507205919446893,33.33333333333333,0.0
05,Mind Blanking (MB),322.75,41.239948270255304,12.77767568404502,50.0,0.0
06,On-Task (OT),397.9805194805195,118.05742934068385,29.664122629615942,8.974358974358974,1.282051282051282
06,Mind Wandering (MW),436.5,43.20052909728901,9.897028430077665,0.0,0.0
06,Mind Blanking (MB),,,,,
07,On-Task (OT),359.27225130890054,69.6174449905352,19.37735094678338,14.285714285714285,0.0
07,Mind Wandering (MW),372.4861111111111,74.3963487396411,19.97291886071128,33.33333333333333,0.0
07,Mind Blanking (MB),347.7719298245614,74.1535611185762,21.32246876738558,0.0,0.0
08,On-Task (OT),282.1686274509804,103.91717153313631,36.82803877663163,29.230769230769234,0.0
08,Mind Wandering (MW),313.5,99.00863435791524,31.581701549574237,62.5,0.0
08,Mind Blanking (MB),136.78787878787878,113.04776578280904,82.644578441132,85.71428571428571,0.0
09,On-Task (OT),251.76470588235293,64.57859255889171,25.6503755490925,22.058823529411764,0.0
09,Mind Wandering (MW),258.7,39.39165602132721,15.226770785205723,10.0,0.0
09,Mind Blanking (MB),240.25,29.28066158503156,12.187580264321149,50.0,0.0
10,On-Task (OT),348.4375,72.59560551823671,20.834613242902016,5.555555555555555,0.0
10,Mind Wandering (MW),327.6875,65.39880684697447,19.95767517740972,15.625,0.0
10,Mind Blanking (MB),311.6041666666667,66.37409760842955,21.30077345192631,25.0,0.0
12,On-Task (OT),343.8119266055046,63.762277718613184,18.545685237898994,0.0,0.0
12,Mind Wandering (MW),348.1860465116279,105.01546234922426,30.160732574249554,20.833333333333336,0.0
12,Mind Blanking (MB),375.0,63.86339588006054,17.030238901349477,25.0,0.0
13,On-Task (OT),293.97058823529414,50.73503141024777,17.25853994945897,17.647058823529413,0.0
13,Mind Wandering (MW),265.1875,33.919589676612944,12.790795070134505,16.666666666666664,0.0
13,Mind Blanking (MB),,,,,
14,On-Task (OT),286.3690036900369,89.42886889157165,31.228543501296187,19.11764705882353,0.3676470588235294
14,Mind Wandering (MW),279.21875,91.93747327360853,32.926683209350564,50.0,0.0
14,Mind Blanking (MB),284.375,97.10329551565178,34.14621380770173,50.0,0.0
15,On-Task (OT),319.0284552845528,92.81147889977456,29.09191244931199,39.34426229508197,1.2048192771084338
15,Mind Wandering (MW),302.7903225806452,89.3712348002997,29.515882158517986,58.82352941176471,1.5873015873015872
15,Mind Blanking (MB),336.5,86.56294159247857,25.724499730305666,100.0,0.0
16,On-Task (OT),381.64814814814815,86.20137280558806,22.586608430791184,7.894736842105263,0.0
16,Mind Wandering (MW),380.0636942675159,100.7178517474627,26.50025594830173,33.33333333333333,0.6329113924050633
16,Mind Blanking (MB),,,,,
